url,team,contingent,sport,FinalPosition
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=2b831c24-1822-4cab-a3e3-ecf5a080631e&SetLanguage=en-CA,BC,British Columbia,Speed Skating Short Track - Team Relay Female,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5d2d585e-9751-4d4d-87ad-dea8fa519816&SetLanguage=en-CA,Bear/Haubrich,Saskatchewan,Figure Skating Pairs Novice Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=b5ce6922-3caa-46b9-ae5a-ec7e8eec4b96&SetLanguage=en-CA,BC,British Columbia,Table Tennis Doubles Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=135e26a6-40ed-44bb-baa8-5de19f6fafaf&SetLanguage=en-CA,Bernard/Hughes,Prince Edward Island,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=146933da-143f-4e12-8adb-ec4949be3eca&SetLanguage=en-CA,Black/Tu,Saskatchewan,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=54672c93-b250-41ee-8536-0ec10c8f91b3&SetLanguage=en-CA,Boucher/Pare,New Brunswick,Badminton Doubles Male,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d95c2dd7-4456-485f-87e9-43b1ec6a588e&SetLanguage=en-CA,Brawley/Ripley,Ontario,Figure Skating Pairs Novice Mix,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=bf0471e7-f5a7-4132-997e-bc07db30c4fd&SetLanguage=en-CA,Brown/Ramnarace,Manitoba,Badminton Doubles Male,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=60642a44-4b7b-4384-ae75-895993ec756f&SetLanguage=en-CA,Brennan/Chi,Saskatchewan,Badminton Doubles Female,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5d3eba5e-04fd-48a7-adac-de959f6b60d9&SetLanguage=en-CA,Boucher/Head,New Brunswick,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=806f96cf-1216-4bdf-a5e8-cab65d349bc2&SetLanguage=en-CA,Bristol/Carroll,Saskatchewan,Artistic Swimming Duet Female,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=35e382f8-9367-48d8-b23e-81eeed88cd2e&SetLanguage=en-CA,Brown/Ding,Manitoba,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=08b4b7f2-17ab-4726-95e0-ac0f424eb2d7&SetLanguage=en-CA,Chan/Lai,Ontario,Badminton Doubles Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=22b600e9-a543-4942-994d-f413f302a46b&SetLanguage=en-CA,Carter/Kam,British Columbia,Figure Skating Dance Novice Mix,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=59cf24c3-f201-497a-8741-d18367a46654&SetLanguage=en-CA,Chan/Wang,Alberta,Badminton Doubles Female,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=4dd395f2-cc57-4f6a-aa67-0a7b39ce6bd3&SetLanguage=en-CA,Chen/Wang,Alberta,Badminton Doubles Male,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=4d112a5d-9e9e-4ffb-8b1b-685a329c9b32&SetLanguage=en-CA,Cheng/Zhang,British Columbia,Badminton Doubles Female,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=16674cc6-15e6-4736-a382-426a6cad4e3f&SetLanguage=en-CA,Cheung/Jia,Ontario,Badminton Doubles Mix,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d1dc1cf5-799d-4b03-b3a4-f3fcb4d8d95c&SetLanguage=en-CA,Cheng/He,British Columbia,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=bb003e16-acb0-477d-9627-efcd17220dc9&SetLanguage=en-CA,Chaput/Danis,Manitoba,Artistic Swimming Duet Female,6
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=b28b63e0-05a1-46b9-845a-11cf93bed751&SetLanguage=en-CA,Cheung/Kwan,Alberta,Badminton Doubles Female,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=e1922f9c-840e-43d3-9d29-fda6788a1ee2&SetLanguage=en-CA,Cheng/Li,British Columbia,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=fb3f9edd-7ad0-4356-a3bc-009c4d5765f2&SetLanguage=en-CA,Choi/Jia,Ontario,Badminton Doubles Male,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=967c248f-1457-457e-afd1-3fe12b8b6982&SetLanguage=en-CA,Cheng/Ngai,British Columbia,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=5da0a55e-17f9-4639-a6d4-a7ab7fc95b43&SetLanguage=en-CA,Cookie,Nunavut,Badminton Doubles Mix,
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=6637ba08-b16e-4763-bb5a-f49fffafb693&SetLanguage=en-CA,Choi/Lai,Ontario,Badminton Doubles Female,Bronze
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=4cd6bc51-3218-4a4d-afba-f5e194687399&SetLanguage=en-CA,Choi/Ruan,Quebec,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=a42d36f8-5cee-42ef-b51c-4a38f006d483&SetLanguage=en-CA,Collier/Willcott,Newfoundland and Labrador,Badminton Doubles Mix,17
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=af10b991-848c-4cf9-9d8f-9d00c241378c&SetLanguage=en-CA,Choi/Laperriere,Quebec,Badminton Doubles Male,5
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=7f4737a7-93d2-42b1-8103-c891c07c13e7&SetLanguage=en-CA,Choi/Lai,Ontario,Badminton Doubles Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=d3b0f069-fcc3-427e-96e8-c11c84082ac7&SetLanguage=en-CA,Couture/Verrelli,Quebec,Figure Skating Dance Novice Mix,4
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=3a9205f5-d8ce-4a0f-a499-afc5731e534b&SetLanguage=en-CA,Derenisky/Eberl,Saskatchewan,Figure Skating Pairs Novice Mix,Silver
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=2ad6a39c-7747-4f12-b235-214d35276eb2&SetLanguage=en-CA,DeRaj/Nichols,Manitoba,Badminton Doubles Mix,9
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=6ffe9516-967c-4e91-b79a-62900056b819&SetLanguage=en-CA,Czarkowski/Hoffman,Alberta,Artistic Swimming Duet Female,Gold
https://cg2019.gems.pro/Result/ShowTeam.aspx?Team_GUID=340c10f0-75a9-4ed5-8f34-e96188352d38&SetLanguage=en-CA,Dewar/Pilat,Manitoba,Figure Skating Pairs Pre-Novice Mix,4
